Accutron, 1875, USA
A.Lange & Söhne, 1845, Germany
Alpina,  1883, Switzerland
Armin Strom, 1967, Switzerland
Audemars Piguet, 1881, Switzerland
Baume & Mercier, 1830, Switzerland
Bell & Ross, 1992, France
Blancpain, 1735, Switzerland
Bovet, 1822, Switzerland
Breguet, 1775, Switzerland
Breitling, 1884, Switzerland
Bremont, 2002, UK
Bulgari, 1884, Italy
Bulova, 1875, USA
Carl F. Bucherer, 1888, Switzerland
Cartier, 1847, France
Certina, 1888, Switzerland
Chanel, 1987, UK
Chopard, 1860, Switzerland
Chronoswiss, 1983, Switzerland
Citizen, 1918, USA
Fortis, 1912, Switzerland
F.P.Journe. 1999, Switzerland
Frederique Constant, 1988, Switzerland
Girard-Perregaux, 1791 - 1852, Switzerland
Glashütte Original, 1845, Germany
Grand Seiko, 1881, Japan
G-Shock, 1983, Japan
Hamilton, 1892, Switzerland
Harry Winston, 1932, New York
Hermès, 1837, France
H.Moser, 1828, Switzerland
Hublot, 1980, Switzerland
HYT, 2012, Switzerland
IWC, 1868, Switzerland
Jaeger-LeCoultre, 1833, Switzerland
Jaquet Droz, 1738, Switzerland
Laurent Ferrier, 2009, Switzerland
Longines, 1832, Switzerland
MB&F, 2005, Switzerland
Mido, 1918, Switzerland
Montblanc, 1906, Germany
NOMOS Glashütte, 1990, Germany
Norqain, 2018, Switzerland
Omega, 1848, Switzerland
Orient Star, 1951, Japan
Oris, 1904, Switzerland
Panerai, 1860, Switzerland 
Parmigiani Fleurier, 1996, Switzerland
Patek Philippe, 1839, Switzerland
Piaget, 1874, Switzerland
Porsche Design, 1972, Germany
Rado, 1917, Switzerland
Ressence, 2010, Belgium
Roger Dubuis, 1995, Switzerland
Rolex, 1905, Switzerland
Seiko, 1881, Japan
Swatch, 1983, Switzerland
TAG Heuer, 1860, Switzerland
Tiffany & Co., 1837, USA
Tissot, 1853, Switzerland
Trilobe, 2018, France
Tudor, 1926, Switzerland
Ulysse Nardin, 1846, Switzerland
Unimatic, 2015, Italy,
Urwerk, 1997, Switzerland
Vacheron Constantin, 1755, Switzerland
Van Cleef & Arpels, 1906, France 
Zenith, 1865, Switzerland